hospital_pk,hospital_name,collection_week,state,fips_code,geocoded_hospital_address,no_dose_personnel,one_dose_personnel,two_dose_personnel,data_reported,correct_coding,total_personnel,percentage_unvacc,std_error,personnel_iqr,personnel_lbd,personnel_ubd,possible_incorrect_count,recip_county,recip_state,one_dose_pop,two_dose_pop,county_pop_size,percentage_unvacc_county,std_error_away_from_count_pop
161338,MERCYONE OELWEIN MEDICAL CENTER,2021-04-09,IA,19065,"{'type': 'Point', 'coordinates': [-91.902616, 42.675236]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fayette County,IA,47.2,34.3,19650,0.528,NA
060065,NORTH SUBURBAN MEDICAL CENTER,2021-04-09,CO,08001,"{'type': 'Point', 'coordinates': [-104.984078, 39.863957]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adams County,CO,2.3,1,517421,0.977,NA
260025,HANNIBAL REGIONAL HOSPITAL,2021-04-09,MO,29127,"{'type': 'Point', 'coordinates': [-91.44984, 39.710565]}",0,0,0,0,0,0,NA,NA,0,926,926,1,Marion County,MO,32.4,23.5,28530,0.6759999999999999,NA
381319,ST ANTHONY HOSPITAL,2021-04-09,OR,41059,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,Umatilla County,OR,35.4,25.6,77950,0.646,NA
061312,ESTES PARK MEDICAL CENTER,2021-04-09,CO,08069,"{'type': 'Point', 'coordinates': [-105.514088, 40.372259]}",NA,NA,NA,NA,NA,NA,NA,NA,0,348,348,NA,Larimer County,CO,1.9,0.9,356899,0.981,NA
061326,UCHEALTH PIKES PEAK REGIONAL HOSPITAL,2021-04-09,CO,08119,"{'type': 'Point', 'coordinates': [-105.074267, 38.973932]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Teller County,CO,11.2,4.4,25388,0.888,NA
171371,CLAY COUNTY MEDICAL CENTER,2021-04-09,KS,20027,"{'type': 'Point', 'coordinates': [-97.123777, 39.39168]}",133,8,132,1,0,265,0.5018867924528302,0.030714537152732188,6.75,258.875,285.875,0,Clay County,KS,46.8,33.6,8002,0.532,-0.9804219870684635
020006,MAT-SU REGIONAL MEDICAL CENTER,2021-04-09,AK,02170,"{'type': 'Point', 'coordinates': [-149.258765, 61.561237]}",565,683,671,1,1,1248,0.452724358974359,0.014090055303867243,1.75,1250.375,1257.375,1,Matanuska-Susitna Borough,AK,28.1,22.8,108317,0.719,-18.89812603876419
231313,HARBOR BEACH COMMUNITY HOSPITAL,2021-04-09,MI,26063,"{'type': 'Point', 'coordinates': [-82.652527, 43.842429]}",103,0,117,1,0,220,0.4681818181818182,0.03364166810977295,8.75,200.125,235.125,0,Huron County,MI,42.8,28.7,30981,0.5720000000000001,-3.0859998225837844
141323,MASSAC MEMORIAL HOSPITAL,2021-04-09,IL,17127,"{'type': 'Point', 'coordinates': [-88.739561, 37.166826]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Massac County,IL,34.4,18.8,13772,0.656,NA
141311,FAIRFIELD MEMORIAL HOSPITAL 1,2021-04-09,IL,17191,"{'type': 'Point', 'coordinates': [-89.130129, 38.579458]}",104,0,235,1,0,339,0.30678466076696165,0.02504673111373934,9,326.5,362.5,0,Wayne County,IL,35.7,28.9,16215,0.643,-13.423521724501926
111328,PHOEBE WORTH MEDICAL CENTER,2021-04-09,GA,13321,"{'type': 'Point', 'coordinates': [-83.840673, 31.512386]}",0,0,0,0,0,0,NA,NA,0,0,0,0,Worth County,GA,6.7,5,20247,0.933,NA
030112,ARIZONA SPECIALTY HOSPITAL,2021-04-09,AZ,04013,"{'type': 'Point', 'coordinates': [-111.890537, 33.334855]}",97,0,45,1,0,142,0.6830985915492958,0.039044476784983656,6.75,130.125,157.125,0,Maricopa County,AZ,39.1,24.8,4485414,0.609,1.8977995775779937
280105,CHI HEALTH MIDLANDS,2021-04-09,NE,31153,"{'type': 'Point', 'coordinates': [-96.042826, 41.136802]}",0,0,0,0,0,0,NA,NA,0,0,0,0,Sarpy County,NE,35.4,22.9,187196,0.646,NA
100050,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,2021-04-09,FL,12086,"{'type': 'Point', 'coordinates': [-80.312092, 25.866662]}",527,482,482,1,1,1009,0.5222993062438057,0.015725051533444324,0,1009,1009,0,Miami-Dade County,FL,42,26.1,2716940,0.5800000000000001,-3.6693484681735686
361325,GALION COMMUNITY HOSPITAL,2021-04-09,OH,39033,"{'type': 'Point', 'coordinates': [-82.803286, 40.731176]}",NA,935,944,NA,0,NA,NA,NA,NA,NA,NA,NA,Crawford County,OH,30.4,23.9,41494,0.696,NA
361313,MORROW COUNTY HOSPITAL,2021-04-09,OH,39117,"{'type': 'Point', 'coordinates': [-82.849966, 40.549373]}",83,0,116,1,0,199,0.41708542713567837,0.03495331945233989,0,210,210,1,Morrow County,OH,25.3,17.8,35328,0.747,-9.438719355801728
360123,UH ST JOHN MEDICAL CENTER,2021-04-09,OH,39035,"{'type': 'Point', 'coordinates': [-81.940834, 41.43571]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cuyahoga County,OH,37.2,20.9,1235072,0.6279999999999999,NA
280061,REGIONAL WEST MEDICAL CENTER,2021-04-09,NE,31157,"{'type': 'Point', 'coordinates': [-103.665837, 41.885055]}",376,412,1026,1,0,1402,0.268188302425107,0.011831657311695708,194.75,1214.625,1993.625,0,Scotts Bluff County,NE,0,17.9,35618,1,-61.8520024960062
340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,2021-04-09,NC,37125,"{'type': 'Point', 'coordinates': [-79.458109, 35.206599]}",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,Moore County,NC,51.5,35.2,100880,0.485,NA
100045,ADVENTHEALTH DELAND,2021-04-09,FL,12127,"{'type': 'Point', 'coordinates': [-81.317319, 29.042611]}",773,71,467,1,0,1240,0.6233870967741936,0.013759912097361873,1456.75,-1964.625,3862.375,0,Volusia County,FL,38.6,25.4,553284,0.614,0.6822061585693798
110064,PIEDMONT COLUMBUS REGIONAL MIDTOWN,2021-04-09,GA,13215,"{'type': 'Point', 'coordinates': [-84.981978, 32.481714]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Muscogee County,GA,25.6,13.2,195769,0.744,NA
230075,BRONSON BATTLE CREEK HOSPITAL,2021-04-09,MI,26025,"{'type': 'Point', 'coordinates': [-85.180414, 42.330238]}",634,41,756,1,0,1390,0.45611510791366905,0.013359288425202481,27,1300.5,1408.5,0,Calhoun County,MI,38.3,25.4,134159,0.617,-12.042923767018863
050022,RIVERSIDE COMMUNITY HOSPITAL,2021-04-09,CA,06065,"{'type': 'Point', 'coordinates': [-117.380372, 33.975679]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Riverside County,CA,37.2,21.5,2470546,0.6279999999999999,NA
050139,KAISER FOUNDATION HOSPITAL - DOWNEY,2021-04-09,CA,06037,"{'type': 'Point', 'coordinates': [-118.129554, 33.917102]}",NA,NA,NA,NA,NA,NA,NA,NA,52.75,4834.125,5045.125,NA,Los Angeles County,CA,42.9,25.5,10039107,0.571,NA
051316,FAIRCHILD MEDICAL CENTER,2021-04-09,CA,06093,"{'type': 'Point', 'coordinates': [-122.645745, 41.718586]}",159,19,370,1,0,529,0.3005671077504726,0.01993498513428906,132.5,-107.75,422.25,1,Siskiyou County,CA,39.9,28,43539,0.601,-15.070635379244376
161318,VETERANS MEMORIAL HOSPITAL,2021-04-09,IA,19005,"{'type': 'Point', 'coordinates': [-91.474455, 43.268052]}",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,Allamakee County,IA,48.3,37.7,13687,0.517,NA
140160,FHN MEMORIAL HOSPITAL,2021-04-09,IL,17177,"{'type': 'Point', 'coordinates': [-89.638381, 42.295828]}",605,0,783,1,0,1388,0.43587896253602304,0.013309887025010654,90.5,1161.75,1523.75,0,Stephenson County,IL,47.4,30.4,44498,0.526,-6.77098440389691
351320,UNITY MEDICAL CENTER,2021-04-09,ND,38099,"{'type': 'Point', 'coordinates': [-97.414142, 48.411492]}",36,116,115,1,1,152,0.23684210526315788,0.03448377979092347,2.25,155.375,164.375,1,Walsh County,ND,48.8,34,10641,0.512,-7.9793426476197045
360107,BELLEVUE HOSPITAL,2021-04-09,OH,39143,"{'type': 'Point', 'coordinates': [-82.882559, 41.28508]}",115,267,246,1,1,382,0.3010471204188482,0.02346980636370172,31.5,300.25,426.25,0,Sandusky County,OH,32.6,22.8,58518,0.6739999999999999,-15.890752305394335
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,2021-04-09,FL,12086,"{'type': 'Point', 'coordinates': [-80.21493, 25.78821]}",3909,11487,8270,1,1,15396,0.2538971161340608,0.0035077149368952882,2846,21986,33370,1,Miami-Dade County,FL,42,26.1,2716940,0.5800000000000001,-92.96732765706898
193300,CHILDRENS HOSPITAL,2021-04-09,LA,22071,"{'type': 'Point', 'coordinates': [-90.127131, 29.917396]}",0,0,0,0,0,0,NA,NA,0,0,0,0,Orleans Parish,LA,51.2,35.3,390144,0.488,NA
190102,"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",2021-04-09,LA,22055,"{'type': 'Point', 'coordinates': [-92.037717, 30.14844]}",4262,2982,2820,1,1,7244,0.5883489784649365,0.005782196943331238,0,7244,7244,0,Lafayette Parish,LA,32.9,21.7,244390,0.671,-14.29405161136671
220080,HOLY FAMILY HOSPITAL,2021-04-09,MA,25009,"{'type': 'Point', 'coordinates': [-71.166186, 42.725494]}",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,Essex County,MA,48.7,30.5,789034,0.5129999999999999,NA
050782,CASA COLINA HOSPITAL,2021-04-09,CA,06037,"{'type': 'Point', 'coordinates': [-117.746864, 34.097763]}",NA,746,680,NA,NA,NA,NA,NA,65,897.5,1157.5,NA,Los Angeles County,CA,42.9,25.5,10039107,0.571,NA
260176,ST LUKE'S DES PERES HOSPITAL,2021-04-09,MO,29189,"{'type': 'Point', 'coordinates': [-90.450408, 38.581081]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,St. Louis County,MO,40.1,25.9,994205,0.599,NA
190036,OCHSNER MEDICAL CENTER,2021-04-09,LA,22051,"{'type': 'Point', 'coordinates': [-90.145205, 29.962771]}",5377,9706,9287,1,1,15083,0.35649406616720813,0.0038999457438955573,324.5,14594.5,15892.5,0,Jefferson Parish,LA,46.9,31.9,432493,0.531,-44.7457337338448
130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,2021-04-09,ID,16027,"{'type': 'Point', 'coordinates': [-116.519174, 43.596332]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canyon County,ID,30.9,20,229849,0.6910000000000001,NA
301310,ANDROSCOGGIN VALLEY HOSPITAL,2021-04-09,NH,33007,"{'type': 'Point', 'coordinates': [-71.156548, 44.487099]}",97,334,331,1,1,431,0.22505800464037123,0.020116072644173734,76,241,545,0,Coos County,NH,0,10,31563,1,-38.52352340674595
351330,WEST RIVER REGIONAL MEDICAL CENTER-CAH,2021-04-09,ND,38001,"{'type': 'Point', 'coordinates': [-102.627821, 46.001453]}",99,144,141,1,1,243,0.4074074074074074,0.03152023400020866,4,245,261,1,Adams County,ND,47.2,39.4,2216,0.528,-3.8258787225943287
140186,RIVERSIDE MEDICAL CENTER,2021-04-09,IL,17091,"{'type': 'Point', 'coordinates': [-87.882697, 41.124241]}",1612,36,1540,1,0,3152,0.5114213197969543,0.008903557462425089,2515.25,-3099.375,6961.625,0,Kankakee County,IL,33.7,20.8,109862,0.663,-17.0245074334321
101308,NORTHWEST FLORIDA COMMUNITY HOSPITAL,2021-04-09,FL,12133,"{'type': 'Point', 'coordinates': [-85.542758, 30.764574]}",136,154,136,1,1,290,0.4689655172413793,0.029304398921281474,21,253.5,337.5,0,Washington County,FL,22.7,13.9,25473,0.773,-10.375045861726393
361326,ADAMS COUNTY REGIONAL MEDICAL CENTER,2021-04-09,OH,39001,"{'type': 'Point', 'coordinates': [-83.585304, 38.933552]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adams County,OH,17.8,14.2,27698,0.822,NA
040132,LEVI HOSPITAL,2021-04-09,AR,05051,"{'type': 'Point', 'coordinates': [-93.056649, 34.509945]}",35,0,94,1,0,129,0.2713178294573643,0.03914834288927231,0,129,129,0,Garland County,AR,36.9,24,99386,0.631,-9.187672938289252
110128,MEMORIAL HEALTH MEADOWS HOSPITAL,2021-04-09,GA,13279,NA,631,335,317,1,1,966,0.6532091097308489,0.015313391773009182,0,966,966,0,Toombs County,GA,7.4,4.8,26830,0.9259999999999999,-17.81387783403819
310015,MORRISTOWN MEDICAL CENTER,2021-04-09,NJ,34027,"{'type': 'Point', 'coordinates': [-74.465049, 40.78804]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morris County,NJ,57.5,36.8,491845,0.42500000000000004,NA
230222,MIDMICHIGAN MEDICAL CENTER-MIDLAND,2021-04-09,MI,26111,"{'type': 'Point', 'coordinates': [-84.261735, 43.63565]}",1169,1917,1846,1,1,3086,0.37880751782242383,0.008732215186799968,43.25,3048.625,3221.625,0,Midland County,MI,47.3,28.4,83156,0.527,-16.9707776328727
271347,HOLY ROSARY HEALTHCARE,2021-04-09,MT,30017,"{'type': 'Point', 'coordinates': [-105.827578, 46.397352]}",140,140,136,1,1,280,0.5,0.02988071523335984,280,-420,700,0,Custer County,MT,32.5,26.8,11402,0.675,-5.856620185738531
230301,SURGEONS CHOICE MEDICAL CENTER,2021-04-09,MI,26125,"{'type': 'Point', 'coordinates': [-83.202675, 42.457316]}",122,135,106,1,1,257,0.47470817120622566,0.031149215590317636,3,252.5,264.5,0,Oakland County,MI,44.4,26.6,1257584,0.556,-2.609755245940864
142011,PRESENCE HOLY FAMILY MEDICAL CENTER,2021-04-09,IL,17031,"{'type': 'Point', 'coordinates': [-87.888192, 42.05467]}",NA,NA,NA,NA,NA,NA,NA,NA,625,-937.5,1562.5,NA,Cook County,IL,47.1,25.1,5150233,0.5289999999999999,NA
100268,WEST BOCA MEDICAL CENTER,2021-04-09,FL,12099,"{'type': 'Point', 'coordinates': [-80.20324, 26.354848]}",0,912,647,1,1,912,0,0,0,914,914,1,Palm Beach County,FL,42,27.8,1496770,0.5800000000000001,-Inf
050678,MEMORIALCARE ORANGE COAST MEDICAL CENTER,2021-04-09,CA,06059,"{'type': 'Point', 'coordinates': [-117.956107, 33.701659]}",12,44,3897,1,0,3909,0.0030698388334612432,8.848248686003254e-4,1602,-10,6398,0,Orange County,CA,45,25.4,3175692,0.55,-618.122501497623
360247,"WOODS AT PARKSIDE,THE",2021-04-09,OH,39049,"{'type': 'Point', 'coordinates': [-82.881147, 40.026831]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Franklin County,OH,33.3,20.1,1316756,0.667,NA
190218,SABINE MEDICAL CENTER,2021-04-09,LA,22085,"{'type': 'Point', 'coordinates': [-93.470998, 31.560471]}",158,85,70,1,1,243,0.6502057613168725,0.030593459942005945,0,243,243,0,Sabine Parish,LA,25.5,16.2,23884,0.745,-3.0985131744765995
291302,WILLIAM BEE RIRIE HOSPITAL,2021-04-09,NV,32033,"{'type': 'Point', 'coordinates': [-114.859695, 39.256232]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White Pine County,NV,43.2,33.3,9580,0.568,NA
050026,GROSSMONT HOSPITAL,2021-04-09,CA,06073,"{'type': 'Point', 'coordinates': [-117.009178, 32.779435]}",1387,242,3972,1,0,5359,0.25881694345960066,0.005982975368469966,217.5,5065.25,5935.25,0,San Diego County,CA,56,20.9,3338330,0.43999999999999995,-30.283102533770496
210044,GREATER BALTIMORE MEDICAL CENTER,2021-04-09,MD,24005,"{'type': 'Point', 'coordinates': [-76.628097, 39.39347]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baltimore County,MD,46.3,29.3,827370,0.537,NA
041314,"DEWITT HOSPITAL & NURSING HOME, INC",2021-04-09,AR,05001,"{'type': 'Point', 'coordinates': [-91.337491, 34.279206]}",89,0,65,1,0,154,0.577922077922078,0.03979885707524138,10,139,179,0,Arkansas County,AR,42.9,28,17486,0.571,0.17392655042810706
152007,KINDRED HOSPITAL INDIANAPOLIS,2021-04-09,IN,18097,"{'type': 'Point', 'coordinates': [-86.191675, 39.780827]}",75,40,36,1,1,115,0.6521739130434783,0.044413384213499926,8.25,94.375,127.375,0,Marion County,IN,33.4,23.9,964582,0.666,-0.31130451329847497
190114,CLAIBORNE MEMORIAL MEDICAL CENTER,2021-04-09,LA,22027,"{'type': 'Point', 'coordinates': [-93.062468, 32.794295]}",165,91,90,1,1,256,0.64453125,0.029915944599869987,90.75,28.875,391.875,0,Claiborne Parish,LA,28.5,18.5,15670,0.7150000000000001,-2.3555582463642595
140095,SAINT ANTHONY HOSPITAL,2021-04-09,IL,17031,"{'type': 'Point', 'coordinates': [-87.698272, 41.855538]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cook County,IL,47.1,25.1,5150233,0.5289999999999999,NA
100206,HCA FLORIDA SOUTH TAMPA HOSPITAL,2021-04-09,FL,12057,"{'type': 'Point', 'coordinates': [-82.489715, 27.937444]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hillsborough County,FL,39.7,22.1,1471968,0.603,NA
361329,WYANDOT MEMORIAL HOSPITAL,2021-04-09,OH,39175,"{'type': 'Point', 'coordinates': [-83.280842, 40.840698]}",285,0,110,1,0,395,0.7215189873417721,0.022553976788582956,1.25,393.125,398.125,0,Wyandot County,OH,0,21.4,21772,1,-12.347313082240898
050248,"NATIVIDAD MEDICAL CENTER",2021-04-09,CA,06053,"{'type': 'Point', 'coordinates': [-121.631371, 36.695362]}",1122,18,1309,1,0,2431,0.46153846153846156,0.010110876680878487,198,1936,2728,0,Monterey County,CA,43.2,23.7,434061,0.568,-10.5294072731474
241378,NEW ULM MEDICAL CENTER,2021-04-09,MN,27015,"{'type': 'Point', 'coordinates': [-94.475513, 44.312348]}",110,8,201,1,0,311,0.3536977491961415,0.027111515061056028,120.5,10.25,492.25,0,Brown County,MN,54.1,36.4,25008,0.45899999999999996,-3.8840415434812225
050262,RONALD REAGAN U C L A MEDICAL CENTER,2021-04-09,CA,06037,"{'type': 'Point', 'coordinates': [-118.445412, 34.063882]}",7053,20301,17739,1,1,27354,0.25784163193682824,0.0026449312852840695,2572.25,21908.125,32197.125,0,Los Angeles County,CA,42.9,25.5,10039107,0.571,-118.39943434656679
161327,DAVIS COUNTY HOSPITAL,2021-04-09,IA,19051,"{'type': 'Point', 'coordinates': [-92.415038, 40.758586]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Davis County,IA,34.9,25.6,9000,0.651,NA
151318,DUKES MEMORIAL HOSPITAL,2021-04-09,IN,18103,"{'type': 'Point', 'coordinates': [-86.083044, 40.757401]}",152,111,109,1,1,263,0.5779467680608364,0.030454372862063005,13,253,305,0,Miami County,IN,28.8,20.2,35516,0.712,-4.4017728602171795
340028,CAPE FEAR VALLEY MEDICAL CENTER,2021-04-09,NC,37051,"{'type': 'Point', 'coordinates': [-78.931194, 35.032383]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cumberland County,NC,45.6,32.1,335509,0.544,NA
360084,AULTMAN HOSPITAL,2021-04-09,OH,39151,"{'type': 'Point', 'coordinates': [-81.403604, 40.796853]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stark County,OH,31.3,19.4,370606,0.687,NA
250100,BMH-GOLDEN TRIANGLE,2021-04-09,MS,28087,"{'type': 'Point', 'coordinates': [-88.42907, 33.526414]}",657,533,509,1,1,1190,0.5521008403361345,0.014415371768489189,113.75,909.625,1364.625,0,Lowndes County,MS,34.2,25.1,58595,0.6579999999999999,-7.346266288834273
313302,WEISMAN CHILDRENS REHABILITATION HOSPITAL,2021-04-09,NJ,34005,"{'type': 'Point', 'coordinates': [-74.918941, 39.880542]}",118,215,202,1,1,333,0.35435435435435436,0.026211621216555632,23.5,300.75,394.75,0,Burlington County,NJ,50.3,32.7,445349,0.497,-5.442076415919997
360006,RIVERSIDE METHODIST HOSPITAL,2021-04-09,OH,39049,"{'type': 'Point', 'coordinates': [-83.031312, 40.032016]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Franklin County,OH,33.3,20.1,1316756,0.667,NA
330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,2021-04-09,NY,36067,"{'type': 'Point', 'coordinates': [-76.14934, 43.055797]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onondaga County,NY,51.9,37.3,460528,0.481,NA
380021,TUALITY COMMUNITY HOSPITAL,2021-04-09,OR,41067,"{'type': 'Point', 'coordinates': [-122.97731, 45.519623]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Washington County,OR,39.3,23.4,601592,0.607,NA
100086,BROWARD HEALTH NORTH,2021-04-09,FL,12011,"{'type': 'Point', 'coordinates': [-80.120719, 26.275137]}",1029,689,654,1,1,1718,0.5989522700814901,0.011824493832386804,84.25,1601.625,1938.625,0,Broward County,FL,41.4,24.9,1952778,0.5860000000000001,1.0953762812251877
151333,PUTNAM COUNTY HOSPITAL,2021-04-09,IN,18133,"{'type': 'Point', 'coordinates': [-86.84599, 39.62219]}",0,0,0,0,0,0,NA,NA,0,0,0,0,Putnam County,IN,29.9,21,37576,0.7010000000000001,NA
330151,ST JAMES HOSPITAL,2021-04-09,NY,36101,"{'type': 'Point', 'coordinates': [-77.662034, 42.357131]}",96,11,243,1,0,339,0.2831858407079646,0.024470295057639355,17,321.5,389.5,0,Steuben County,NY,42.5,26.7,95379,0.575,-11.925240729818427
282003,MADONNA REHABILITATION SPECIALTY HOSPITAL OMAHA,2021-04-09,NE,31055,"{'type': 'Point', 'coordinates': [-96.188952, 41.259304]}",78,390,383,1,1,468,0.16666666666666666,0.017227046470723397,0,468,468,0,Douglas County,NE,45.2,28.8,571327,0.548,-22.135734873728502
110184,WELLSTAR DOUGLAS HOSPITAL,2021-04-09,GA,13097,"{'type': 'Point', 'coordinates': [-84.733026, 33.739104]}",0,0,0,0,0,0,NA,NA,0,0,0,0,Douglas County,GA,17.6,8,146343,0.824,NA
050581,LAKEWOOD REGIONAL MEDICAL CENTER,2021-04-09,CA,06037,"{'type': 'Point', 'coordinates': [-118.148428, 33.860225]}",0,1657,1057,1,1,1657,0,0,28,1615,1727,0,Los Angeles County,CA,42.9,25.5,10039107,0.571,-Inf
260091,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,2021-04-09,MO,29189,"{'type': 'Point', 'coordinates': [-90.310643, 38.633989]}",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,St. Louis County,MO,40.1,25.9,994205,0.599,NA
050107,MARIAN REGIONAL MEDICAL CENTER,2021-04-09,CA,06083,"{'type': 'Point', 'coordinates': [-120.412675, 34.952123]}",0,0,0,0,0,0,NA,NA,0,0,0,0,Santa Barbara County,CA,45,25,446499,0.55,NA
110237,NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,2021-04-09,GA,13187,"{'type': 'Point', 'coordinates': [-83.976028, 34.523076]}",0,0,0,0,0,0,NA,NA,0,0,0,0,Lumpkin County,GA,0,0.9,33610,1,NA
050784,ADVENTIST HEALTH TULARE,2021-04-09,CA,06107,"{'type': 'Point', 'coordinates': [-119.337669, 36.220902]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tulare County,CA,36.6,23.8,466195,0.634,NA
031312,COPPER QUEEN COMMUNITY HOSPITAL,2021-04-09,AZ,04003,"{'type': 'Point', 'coordinates': [-109.882884, 31.417205]}",78,21,269,1,0,347,0.22478386167146974,0.02240934842515837,6,361,385,1,Cochise County,AZ,42.6,25.7,125922,0.5740000000000001,-15.583502550055172
250128,PANOLA MEDICAL CENTER,2021-04-09,MS,28107,"{'type': 'Point', 'coordinates': [-89.915572, 34.307063]}",206,0,202,1,0,408,0.5049019607843137,0.024752498922195845,62,253,501,0,Panola County,MS,30.9,21.6,34192,0.6910000000000001,-7.51835359333397
210032,UNION HOSPITAL OF CECIL COUNTY,2021-04-09,MD,24015,"{'type': 'Point', 'coordinates': [-75.831076, 39.60836]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cecil County,MD,38.5,26.3,102855,0.615,NA
241336,KITTSON MEMORIAL HOSPITAL,2021-04-09,MN,27069,"{'type': 'Point', 'coordinates': [-96.940487, 48.767168]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kittson County,MN,49.8,33.1,4298,0.502,NA
